year,stn,name,month,month_dev,cum_dev
2024,192,진주,4,30.9,48.0
2024,192,진주,5,1.6,21.8
2024,192,진주,6,5.1,14.8
2024,192,진주,7,7.3,12.3
2024,192,진주,8,12.6,12.3
2024,192,진주,9,26.7,14.0
2024,201,강화,1,,
2024,201,강화,2,,
2024,201,강화,3,212.2,268.9
2024,201,강화,4,54.3,72.9
2024,201,강화,5,0.0,25.7
2024,201,강화,6,4.1,15.6
2024,201,강화,7,5.9,12.0
2024,201,강화,8,12.4,12.1
2024,201,강화,9,20.9,13.1
2024,202,양평,1,,
2024,202,양평,2,,
2024,202,양평,3,123.1,183.7
2024,202,양평,4,53.2,71.7
2024,202,양평,5,2.8,29.4
2024,202,양평,6,4.4,18.1
2024,202,양평,7,3.9,13.1
2024,202,양평,8,12.7,13.0
2024,202,양평,9,25.3,14.4
2024,203,이천,1,,
2024,203,이천,2,,
2024,203,이천,3,109.6,154.3
2024,203,이천,4,53.9,68.3
2024,203,이천,5,3.5,28.6
2024,203,이천,6,7.9,19.3
2024,203,이천,7,6.6,14.9
2024,203,이천,8,14.6,14.8
2024,203,이천,9,28.7,16.3
2024,211,인제,1,,
2024,211,인제,2,,
2024,211,인제,3,256.5,311.2
2024,211,인제,4,58.8,77.5
2024,211,인제,5,2.0,28.2
2024,211,인제,6,10.1,19.7
2024,211,인제,7,9.8,16.1
2024,211,인제,8,19.7,17.0
2024,211,인제,9,27.4,18.2
2024,212,홍천,1,,
2024,212,홍천,2,,
2024,212,홍천,3,162.6,209.4
2024,212,홍천,4,57.8,73.4
2024,212,홍천,5,1.8,27.8
2024,212,홍천,6,5.7,17.5
2024,212,홍천,7,5.5,13.2
2024,212,홍천,8,14.0,13.4
2024,212,홍천,9,24.7,14.7
2024,216,태백,1,,
2024,216,태백,2,,
2024,216,태백,3,1086.5,1532.4
2024,216,태백,4,82.7,104.7
2024,216,태백,5,2.7,32.2
2024,216,태백,6,14.5,23.6
2024,216,태백,7,15.6,20.5
2024,216,태백,8,18.5,19.9
2024,216,태백,9,39.4,22.1
2024,217,정선군,1,,
2024,217,정선군,2,,
2024,217,정선군,3,50.4,75.4
2024,217,정선군,4,48.9,52.3
2024,217,정선군,5,-4.1,15.7
2024,217,정선군,6,5.6,11.0
2024,217,정선군,7,8.1,10.0
2024,217,정선군,8,15.5,11.5
2024,217,정선군,9,32.0,13.7
2024,221,제천,1,,
2024,221,제천,2,,
2024,221,제천,3,390.9,506.7
2024,221,제천,4,66.3,87.2
2024,221,제천,5,2.2,30.4
2024,221,제천,6,5.0,18.2
2024,221,제천,7,5.7,13.6
2024,221,제천,8,12.9,13.4
2024,221,제천,9,30.8,15.3
2024,226,보은,1,,
2024,226,보은,2,,
2024,226,보은,3,145.0,210.5
2024,226,보은,4,61.7,78.9
2024,226,보은,5,2.8,30.7
2024,226,보은,6,5.2,18.9
2024,226,보은,7,7.6,14.8
2024,226,보은,8,12.9,14.3
2024,226,보은,9,34.3,16.6
2024,232,천안,1,,
2024,232,천안,2,,
2024,232,천안,3,114.5,165.4
2024,232,천안,4,53.1,68.3
2024,232,천안,5,-2.6,24.0
2024,232,천안,6,3.1,14.6
2024,232,천안,7,4.7,11.1
2024,232,천안,8,11.7,11.3
2024,232,천안,9,29.0,13.3
2024,235,보령,1,,
2024,235,보령,2,,
2024,235,보령,3,150.1,277.0
2024,235,보령,4,56.4,87.0
2024,235,보령,5,3.8,34.8
2024,235,보령,6,6.9,21.9
2024,235,보령,7,8.2,16.9
2024,235,보령,8,14.9,16.3
2024,235,보령,9,30.3,18.0
2024,236,부여,1,,
2024,236,부여,2,,
2024,236,부여,3,102.3,163.3
2024,236,부여,4,46.7,65.7
2024,236,부여,5,0.4,25.8
2024,236,부여,6,4.0,16.1
2024,236,부여,7,5.2,12.3
2024,236,부여,8,12.3,12.3
2024,236,부여,9,29.7,14.2
2024,238,금산,1,,
2024,238,금산,2,,
2024,238,금산,3,119.9,180.8
2024,238,금산,4,51.5,69.5
2024,238,금산,5,0.9,27.0
2024,238,금산,6,5.5,17.2
2024,238,금산,7,5.9,13.2
2024,238,금산,8,15.6,13.8
2024,238,금산,9,36.0,16.3
2024,243,부안,1,,
2024,243,부안,2,,
2024,243,부안,3,119.2,232.9
2024,243,부안,4,46.0,78.2
2024,243,부안,5,4.5,33.3
2024,243,부안,6,7.9,22.1
2024,243,부안,7,7.9,17.0
2024,243,부안,8,12.9,15.9
2024,243,부안,9,28.9,17.4
2024,244,임실,1,,
2024,244,임실,2,,
2024,244,임실,3,233.9,355.3
2024,244,임실,4,67.0,100.0
2024,244,임실,5,8.3,41.5
2024,244,임실,6,5.4,24.6
2024,244,임실,7,7.7,18.4
2024,244,임실,8,13.8,17.1
2024,244,임실,9,32.8,18.9
2024,245,정읍,1,,
2024,245,정읍,2,,
2024,245,정읍,3,59.1,147.2
2024,245,정읍,4,36.2,58.3
2024,245,정읍,5,1.4,25.0
2024,245,정읍,6,5.8,16.7
2024,245,정읍,7,8.3,13.8
2024,245,정읍,8,13.3,13.7
2024,245,정읍,9,30.7,15.6
2024,247,남원,1,,
2024,247,남원,2,,
2024,247,남원,3,97.3,173.7
2024,247,남원,4,54.6,75.8
2024,247,남원,5,5.3,33.1
2024,247,남원,6,4.2,20.3
2024,247,남원,7,7.9,15.9
2024,247,남원,8,14.0,15.4
2024,247,남원,9,30.3,17.1
2024,248,장수,1,,
2024,248,장수,2,,
2024,248,장수,3,205.5,319.9
2024,248,장수,4,59.9,83.3
2024,248,장수,5,3.9,31.6
2024,248,장수,6,3.3,18.3
2024,248,장수,7,9.5,15.0
2024,248,장수,8,14.0,14.7
2024,248,장수,9,34.0,16.9
2024,252,영광군,1,,
2024,252,영광군,2,,
2024,252,영광군,3,90.3,204.2
2024,252,영광군,4,43.5,71.9
2024,252,영광군,5,-1.2,26.7
2024,252,영광군,6,2.9,16.0
2024,252,영광군,7,5.7,12.3
2024,252,영광군,8,9.2,11.4
2024,252,영광군,9,27.7,13.3
2024,253,김해시,1,,
2024,253,김해시,2,164.4,283.4
2024,253,김해시,3,-3.0,37.8
2024,253,김해시,4,18.9,25.9
2024,253,김해시,5,-4.6,10.5
2024,253,김해시,6,2.9,7.7
2024,253,김해시,7,3.5,6.4
2024,253,김해시,8,7.1,6.6
2024,253,김해시,9,25.1,8.6
2024,254,순창군,1,,
2024,254,순창군,2,13425.0,17825.0
2024,254,순창군,3,67.2,137.9
2024,254,순창군,4,50.0,66.6
2024,254,순창군,5,0.5,26.5
2024,254,순창군,6,2.2,15.8
2024,254,순창군,7,6.4,12.5
2024,254,순창군,8,11.4,12.2
2024,254,순창군,9,31.5,14.3
2024,257,양산시,1,,
2024,257,양산시,2,313.6,501.8
2024,257,양산시,3,17.7,73.9
2024,257,양산시,4,32.5,47.1
2024,257,양산시,5,1.3,23.3
2024,257,양산시,6,7.7,17.3
2024,257,양산시,7,6.9,13.9
2024,257,양산시,8,10.8,13.1
2024,257,양산시,9,27.0,14.7
2024,259,강진군,1,,
2024,259,강진군,2,800.9,1090.8
2024,259,강진군,3,45.9,117.4
2024,259,강진군,4,44.3,63.7
2024,259,강진군,5,4.6,29.7
2024,259,강진군,6,3.9,18.7
2024,259,강진군,7,8.1,15.1
2024,259,강진군,8,12.4,14.4
2024,259,강진군,9,28.4,16.0
2024,260,장흥,1,,
2024,260,장흥,2,,
2024,260,장흥,3,58.9,154.0
2024,260,장흥,4,40.0,65.1
2024,260,장흥,5,5.4,30.3
2024,260,장흥,6,6.4,20.0
2024,260,장흥,7,8.6,16.0
2024,260,장흥,8,13.4,15.3
2024,260,장흥,9,26.4,16.6
2024,261,해남,1,,
2024,261,해남,2,,
2024,261,해남,3,88.8,220.7
2024,261,해남,4,42.2,78.6
2024,261,해남,5,6.6,35.9
2024,261,해남,6,4.8,22.3
2024,261,해남,7,7.6,17.1
2024,261,해남,8,12.6,15.9
2024,261,해남,9,27.0,17.2
2024,262,고흥,1,,
2024,262,고흥,2,6200.0,8809.5
2024,262,고흥,3,59.9,178.1
2024,262,고흥,4,35.5,71.6
2024,262,고흥,5,4.5,34.2
2024,262,고흥,6,6.9,22.8
2024,262,고흥,7,10.2,18.5
2024,262,고흥,8,16.0,17.8
2024,262,고흥,9,29.1,19.1
2024,263,의령군,1,,
2024,263,의령군,2,1934.1,2656.8
2024,263,의령군,3,22.7,84.4
2024,263,의령군,4,35.9,49.5
2024,263,의령군,5,0.8,22.2
2024,263,의령군,6,8.2,16.5
2024,263,의령군,7,11.3,14.7
2024,263,의령군,8,16.9,15.3
2024,263,의령군,9,39.3,17.8
2024,264,함양군,1,,
2024,264,함양군,2,,
2024,264,함양군,3,35.6,84.8
2024,264,함양군,4,40.6,50.7
2024,264,함양군,5,1.1,21.8
2024,264,함양군,6,3.9,14.1
2024,264,함양군,7,7.5,11.8
2024,264,함양군,8,12.4,12.0
2024,264,함양군,9,34.3,14.3
2024,268,진도군,1,,
2024,268,진도군,2,3317.2,4582.8
2024,268,진도군,3,56.4,159.1
2024,268,진도군,4,34.0,62.9
2024,268,진도군,5,1.2,27.1
2024,268,진도군,6,1.3,16.0
2024,268,진도군,7,4.9,12.1
2024,268,진도군,8,8.4,11.0
2024,268,진도군,9,24.5,12.6
2024,271,봉화,1,,
2024,271,봉화,2,,
2024,271,봉화,3,457.4,610.3
2024,271,봉화,4,70.2,96.6
2024,271,봉화,5,1.9,32.9
2024,271,봉화,6,6.6,20.2
2024,271,봉화,7,10.7,16.6
2024,271,봉화,8,15.4,16.3
2024,271,봉화,9,36.1,18.5
2024,272,영주,1,,
2024,272,영주,2,,
2024,272,영주,3,99.8,137.0
2024,272,영주,4,45.5,57.8
2024,272,영주,5,-1.4,21.1
2024,272,영주,6,4.3,13.6
2024,272,영주,7,5.8,10.8
2024,272,영주,8,11.8,11.1
2024,272,영주,9,26.7,12.8
2024,273,문경,1,,
2024,273,문경,2,,
2024,273,문경,3,78.3,120.0
2024,273,문경,4,45.2,57.0
2024,273,문경,5,2.6,24.4
2024,273,문경,6,8.7,17.5
2024,273,문경,7,8.9,14.5
2024,273,문경,8,14.2,14.4
2024,273,문경,9,31.5,16.3
2024,276,청송군,1,,
2024,276,청송군,2,,
2024,276,청송군,3,57.2,108.1
2024,276,청송군,4,44.5,54.5
2024,276,청송군,5,-6.1,16.4
2024,276,청송군,6,5.9,11.6
2024,276,청송군,7,8.5,10.5
2024,276,청송군,8,14.2,11.5
2024,276,청송군,9,35.0,14.1
2024,277,영덕,1,,
2024,277,영덕,2,35000.0,42950.0
2024,277,영덕,3,22.9,87.2
2024,277,영덕,4,25.1,39.3
2024,277,영덕,5,0.0,17.1
2024,277,영덕,6,11.2,14.7
2024,277,영덕,7,10.0,13.1
2024,277,영덕,8,14.5,13.4
2024,277,영덕,9,24.8,14.7
2024,278,의성,1,,
2024,278,의성,2,,
2024,278,의성,3,116.2,181.1
2024,278,의성,4,48.8,68.2
2024,278,의성,5,3.7,28.6
2024,278,의성,6,8.2,19.4
2024,278,의성,7,8.8,15.6
2024,278,의성,8,14.5,15.3
2024,278,의성,9,32.7,17.3
2024,279,구미,1,,
2024,279,구미,2,,
2024,279,구미,3,56.0,108.8
2024,279,구미,4,34.9,51.1
2024,279,구미,5,3.3,24.0
2024,279,구미,6,8.9,17.7
2024,279,구미,7,7.4,14.2
2024,279,구미,8,14.5,14.3
2024,279,구미,9,29.2,15.9
2024,281,영천,1,,
2024,281,영천,2,,
2024,281,영천,3,59.7,116.2
2024,281,영천,4,34.9,51.1
2024,281,영천,5,0.8,21.8
2024,281,영천,6,8.6,16.2
2024,281,영천,7,7.9,13.3
2024,281,영천,8,12.5,13.1
2024,281,영천,9,28.3,14.8
2024,283,경주시,1,,
2024,283,경주시,2,4393.8,5400.0
2024,283,경주시,3,17.3,68.8
2024,283,경주시,4,30.8,40.7
2024,283,경주시,5,-1.2,16.8
2024,283,경주시,6,10.9,14.4
2024,283,경주시,7,9.1,12.6
2024,283,경주시,8,12.3,12.5
2024,283,경주시,9,28.6,14.2
2024,284,거창,1,,
2024,284,거창,2,,
2024,284,거창,3,56.4,105.9
2024,284,거창,4,36.8,48.8
2024,284,거창,5,0.1,19.7
2024,284,거창,6,3.1,12.4
2024,284,거창,7,6.3,10.2
2024,284,거창,8,13.1,11.0
2024,284,거창,9,30.6,13.2
2024,285,합천,1,,
2024,285,합천,2,26200.0,33100.0
2024,285,합천,3,44.3,106.9
2024,285,합천,4,34.3,51.9
2024,285,합천,5,5.2,25.8
2024,285,합천,6,7.0,18.0
2024,285,합천,7,9.2,15.0
2024,285,합천,8,14.9,15.0
2024,285,합천,9,29.6,16.6
2024,288,밀양,1,,
2024,288,밀양,2,4381.0,6023.8
2024,288,밀양,3,42.5,114.1
2024,288,밀양,4,37.8,57.6
2024,288,밀양,5,7.4,29.8
2024,288,밀양,6,8.7,21.1
2024,288,밀양,7,9.9,17.3
2024,288,밀양,8,15.1,16.7
2024,288,밀양,9,29.3,18.1
2024,289,산청,1,,
2024,289,산청,2,,
2024,289,산청,3,33.4,81.0
2024,289,산청,4,32.0,43.1
2024,289,산청,5,2.6,20.2
2024,289,산청,6,6.5,14.5
2024,289,산청,7,8.8,12.5
2024,289,산청,8,14.9,13.2
2024,289,산청,9,28.9,14.9
2024,294,거제,1,,
2024,294,거제,2,660.1,1073.9
2024,294,거제,3,26.5,95.5
2024,294,거제,4,26.8,48.4
2024,294,거제,5,3.6,25.0
2024,294,거제,6,5.9,17.5
2024,294,거제,7,4.7,13.3
2024,294,거제,8,10.2,12.5
2024,294,거제,9,24.7,13.9
2024,295,남해,1,,
2024,295,남해,2,817.7,1275.2
2024,295,남해,3,24.6,87.1
2024,295,남해,4,22.6,42.0
2024,295,남해,5,3.1,21.5
2024,295,남해,6,5.6,15.2
2024,295,남해,7,5.9,12.2
